Step,datetime,office_population,hospitalized,patients_total
664,2021-01-28 16:00:00,0,0,0
665,2021-01-28 17:00:00,0,0,0
666,2021-01-28 18:00:00,0,0,0
667,2021-01-28 19:00:00,0,0,0
668,2021-01-28 20:00:00,0,0,0
669,2021-01-28 21:00:00,0,0,0
670,2021-01-28 22:00:00,0,0,0
671,2021-01-28 23:00:00,0,0,0
672,2021-01-29 00:00:00,0,0,0
673,2021-01-29 01:00:00,0,0,0
674,2021-01-29 02:00:00,0,0,0
675,2021-01-29 03:00:00,0,0,0
676,2021-01-29 04:00:00,0,0,0
677,2021-01-29 05:00:00,0,0,0
678,2021-01-29 06:00:00,0,0,0
679,2021-01-29 07:00:00,0,0,0
680,2021-01-29 08:00:00,0,0,0
681,2021-01-29 09:00:00,0,0,0
682,2021-01-29 10:00:00,0,0,0
683,2021-01-29 11:00:00,0,0,0
684,2021-01-29 12:00:00,0,0,0
685,2021-01-29 13:00:00,0,0,0
686,2021-01-29 14:00:00,0,0,0
687,2021-01-29 15:00:00,0,0,0
688,2021-01-29 16:00:00,0,0,0
689,2021-01-29 17:00:00,0,0,0
690,2021-01-29 18:00:00,0,0,0
691,2021-01-29 19:00:00,0,0,0
692,2021-01-29 20:00:00,0,0,0
693,2021-01-29 21:00:00,0,0,0
694,2021-01-29 22:00:00,0,0,0
695,2021-01-29 23:00:00,0,0,0
696,2021-01-30 00:00:00,0,0,0
697,2021-01-30 01:00:00,0,0,0
698,2021-01-30 02:00:00,0,0,0
699,2021-01-30 03:00:00,0,0,0
700,2021-01-30 04:00:00,0,0,0
701,2021-01-30 05:00:00,0,0,0
702,2021-01-30 06:00:00,0,0,0
703,2021-01-30 07:00:00,0,0,0
704,2021-01-30 08:00:00,0,0,0
705,2021-01-30 09:00:00,0,0,0
706,2021-01-30 10:00:00,0,0,0
707,2021-01-30 11:00:00,0,0,0
708,2021-01-30 12:00:00,0,0,0
709,2021-01-30 13:00:00,0,0,0
710,2021-01-30 14:00:00,0,0,0
711,2021-01-30 15:00:00,0,0,0
712,2021-01-30 16:00:00,0,0,0
713,2021-01-30 17:00:00,0,0,0
714,2021-01-30 18:00:00,0,0,0
715,2021-01-30 19:00:00,0,0,0
716,2021-01-30 20:00:00,0,0,0
717,2021-01-30 21:00:00,0,0,0
718,2021-01-30 22:00:00,0,0,0
719,2021-01-30 23:00:00,0,0,0
